# Manually curated file. Review and edit row by row; do not generate it from the Ferrari scraper.
model,source_year,production_start_year,production_end_year,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at
Dino 206 GT,1967,1967,1969,discontinued,Wikipedia - Dino 206 GT and 246 GT,https://en.wikipedia.org/wiki/Dino_206_GT_and_246_GT,wikipedia,medium,reviewed,Production range reported for the 206 GT,2026-07-27
Dino 246 GT,1969,1969,1974,discontinued,Wikipedia - Dino 206 GT and 246 GT,https://en.wikipedia.org/wiki/Dino_206_GT_and_246_GT,wikipedia,medium,reviewed,Production range reported for the 246 GT coupe,2026-07-27
Dino 246 GTS,1972,1972,1974,discontinued,Wikipedia - Dino 206 GT and 246 GT,https://en.wikipedia.org/wiki/Dino_206_GT_and_246_GT,wikipedia,medium,reviewed,Production range reported for the 246 GTS targa,2026-07-27
365 GT4 BB,1971,1973,1976,discontinued,Wikipedia - Ferrari Berlinetta Boxer,https://en.wikipedia.org/wiki/Ferrari_Berlinetta_Boxer,wikipedia,medium,reviewed,Presented in 1971 but series production is reported from 1973,2026-07-27
512 BB,1976,1976,1981,discontinued,Wikipedia - Ferrari Berlinetta Boxer,https://en.wikipedia.org/wiki/Ferrari_Berlinetta_Boxer,wikipedia,medium,reviewed,Production range reported for the carbureted 512 BB,2026-07-27
512 BBi,1981,1981,1984,discontinued,Wikipedia - Ferrari Berlinetta Boxer,https://en.wikipedia.org/wiki/Ferrari_Berlinetta_Boxer,wikipedia,medium,reviewed,Production range reported for the fuel-injected 512 BBi,2026-07-27
Testarossa,1984,1984,1991,discontinued,Wikipedia - Ferrari Testarossa,https://en.wikipedia.org/wiki/Ferrari_Testarossa,wikipedia,medium,reviewed,Production range reported for the original Testarossa,2026-07-27
512 TR,1991,1992,1994,discontinued,Wikipedia - Ferrari Testarossa,https://en.wikipedia.org/wiki/Ferrari_Testarossa,wikipedia,medium,reviewed,Introduced in 1991; production range is reported from 1992 to 1994,2026-07-27
F512 M,1994,1994,1996,discontinued,Wikipedia - Ferrari Testarossa,https://en.wikipedia.org/wiki/Ferrari_Testarossa,wikipedia,medium,reviewed,Production continued into early 1996,2026-07-27
308 GTB,1975,1975,1980,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Carbureted GTB production before the GTBi replacement,2026-07-27
308 GTS,1977,1977,1980,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Carbureted GTS production before the GTSi replacement,2026-07-27
208 GTB,1980,1980,1981,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Source reports 208 GTB production in 1980 and 1981,2026-07-27
208 GTS,1980,1980,1981,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Source reports 208 GTS production in 1980 and 1981,2026-07-27
308 GTBi,1980,1980,1982,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Fuel-injected model replaced by the Quattrovalvole in 1982,2026-07-27
308 GTSi,1980,1980,1982,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Fuel-injected model replaced by the Quattrovalvole in 1982,2026-07-27
208 GTB Turbo,1982,1982,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Turbo GTB production ended in 1985,2026-07-27
208 GTS Turbo,1983,1983,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,GTS Turbo introduced in 1983 and production ended in 1985,2026-07-27
