# Manually curated file. Review and edit row by row; do not generate it from the Ferrari scraper.
model,source_year,production_start_year,production_end_year,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at
166 Inter,1948,1948,1950,discontinued,Ferrari 166 Inter and specialist cross-check,https://www.ferrari.com/en-EN/auto/166-inter,manufacturer_model_page,medium,reviewed,Ferrari confirms the 1948 archive year; end year cross-checked against specialist model histories,2026-08-15
195 Inter,1950,1950,1951,discontinued,Ferrari 195 Inter and Wikipedia contrast,https://www.ferrari.com/en-EN/auto/195-inter,manufacturer_model_page,medium,reviewed,Ferrari confirms the model and archive year; contrast source reports a sub-one-year run ending in 1951,2026-08-15
212 Inter,1951,1951,1952,discontinued,Ferrari 212 Inter and Wikipedia contrast,https://www.ferrari.com/en-EN/auto/212-inter,manufacturer_model_page,medium,reviewed,Ferrari confirms the model and archive year; contrast source reports 1951 to 1952,2026-08-15
342 America,1951,1952,1953,discontinued,Ferrari 342 America and specialist production histories,https://www.ferrari.com/en-EN/auto/342-america,mixed_official_specialist,medium,reviewed,Ferrari's 1951 historical classification remains source_year; effective production or customer deliveries begin in 1952,2026-08-15
250 Europa,1953,1953,1954,discontinued,Ferrari 250 Europa,https://www.ferrari.com/en-EN/auto/250-europa,manufacturer_model_page,medium,reviewed,Archive year and replacement context support the short 1953 to 1954 run,2026-08-15
375 America,1953,1953,1954,discontinued,Ferrari 375 America,https://www.ferrari.com/en-EN/auto/375-america,manufacturer_model_page,medium,reviewed,Archive year and specialist histories support 1953 to 1954,2026-08-15
250 GT Coupé,1954,1954,1960,discontinued,Ferrari The Lady of the Coupé,https://www.ferrari.com/en-EN/history/moments/1955/the-lady-of-the-coupe/more,manufacturer_history_article,medium,reviewed,The archive includes multiple coachbuilt and series-production phases under one snapshot record,2026-08-15
250 GT Berlinetta,1956,1956,1959,discontinued,Ferrari 250 GT Berlinetta,https://www.ferrari.com/en-EN/auto/250-gt-berlinetta,manufacturer_model_page,medium,reviewed,Long-wheelbase berlinetta period ends with the short-wheelbase model introduction,2026-08-15
410 Superamerica,1956,1956,1959,discontinued,Ferrari 410 Superamerica,https://www.ferrari.com/en-EN/auto/410-superamerica,manufacturer_model_page,medium,reviewed,Three low-volume series are aggregated in the archive record,2026-08-15
250 California,1957,1957,1962,discontinued,Ferrari 250 California,https://www.ferrari.com/en-EN/auto/250-california,manufacturer_model_page,medium,reviewed,LWB and SWB California spiders are aggregated in the archive record,2026-08-15
