# Manually curated genealogy evidence. Blank relationships are intentional when evidence is insufficient.
model,source_year,engine_architecture_override,engine_location_override,seating_configuration_override,base_model_override,base_model_year_override,lineage_override,generation_override,predecessor_override,predecessor_year_override,predecessor_relationship_override,successor_override,successor_year_override,successor_relationship_override,taxonomy_notes_override,taxonomy_source_name,taxonomy_source_url,taxonomy_source_type,taxonomy_confidence_override,taxonomy_review_status,taxonomy_reviewed_at,human_decision_required
166 Inter,1948,V12,front,2,,,Inter road GT,1,,,,195 Inter,1950,evolution,Ferrari identifies the 166 Inter as its first road car; later Inter succession is corroborated by specialist histories.,Ferrari 166 Inter,https://www.ferrari.com/en-EN/auto/166-inter,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
195 Inter,1950,V12,front,2,,,Inter road GT,2,166 Inter,1948,evolution,212 Inter,1951,evolution,Touring version of the 195 S; the short-lived model sits between the 166 and 212 Inter.,Ferrari 195 Inter,https://www.ferrari.com/en-EN/auto/195-inter,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
212 Inter,1951,V12,front,2,,,Inter road GT,3,195 Inter,1950,evolution,250 Europa,1953,direct,Ferrari states that the 250 Europa took over from the 212 Inter.,Ferrari 250 Europa,https://www.ferrari.com/en-EN/auto/250-europa,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
342 America,1951,V12,front,2,,,America luxury GT,1,,,,375 America,1953,direct,Ferrari's historical and editorial year is retained independently from the effective 1952 production or delivery start.,Ferrari 342 America,https://www.ferrari.com/en-EN/auto/342-america,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
250 Europa,1953,V12,front,2,,,Inter and Europa road GT,4,212 Inter,1951,direct,250 GT Coupé,1954,evolution,Ferrari explicitly says it took over from the 212 Inter.,Ferrari 250 Europa,https://www.ferrari.com/en-EN/auto/250-europa,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
375 America,1953,V12,front,2,,,America luxury GT,2,342 America,1951,direct,410 Superamerica,1956,direct,Ferrari calls the 375 America heir to the 342 America.,Ferrari 375 America,https://www.ferrari.com/en-EN/auto/375-america,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
250 GT Coupé,1954,V12,front,2,,,Inter and Europa road GT,5,250 Europa,1953,evolution,,,,Ferrari says the model was developed from the 250 Europa; later derivatives do not form one unambiguous successor chain.,Ferrari 250 GT Coupé,https://www.ferrari.com/en-EN/auto/250-gt-coupe,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
250 GT Berlinetta,1956,V12,front,2,250 GT Coupé,1954,250 competition berlinettas,1,,,,250 GT Berlinetta passo corto,1959,evolution,Ferrari calls this the first model in the berlinetta series.,Ferrari 250 GT Berlinetta,https://www.ferrari.com/en-EN/auto/250-gt-berlinetta,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
410 Superamerica,1956,V12,front,2,,,America luxury GT,3,375 America,1953,direct,,,,No successor is assigned because the available Ferrari evidence does not explicitly establish one.,Ferrari 410 Superamerica,https://www.ferrari.com/en-EN/auto/410-superamerica,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
250 California,1957,V12,front,2,250 GT Berlinetta,1956,250 competition berlinettas,,,,,,,,Ferrari describes it as an open 250 GT Berlinetta; LWB and SWB subseries are combined in the source snapshot.,Ferrari 250 California,https://www.ferrari.com/en-EN/auto/250-california,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
250 GT Cabriolet,1957,V12,front,2,250 GT Coupé,1954,250 road GT derivatives,,,,,,,,Two-seat Pininfarina spider associated with the 250 GT road range.,Ferrari 250 GT Cabriolet,https://www.ferrari.com/en-EN/auto/250-gt-cabriolet,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
250 GT Berlinetta passo corto,1959,V12,front,2,250 GT Berlinetta,1956,250 competition berlinettas,2,250 GT Berlinetta,1956,evolution,250 GTO,1962,derivative,Accepted human decision: the 250 GTO is recorded as a derivative of the SWB competition berlinetta.,Ferrari 250 GT Berlinetta passo corto,https://www.ferrari.com/en-EN/auto/250-gt-berlinetta-passo-corto,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
400 Superamerica,1960,V12,front,2,,,America luxury GT,1,,,,,,,No predecessor or successor is forced without explicit evidence.,Ferrari 400 Superamerica,https://www.ferrari.com/en-EN/auto/400-superamerica,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
250 GT Berlinetta lusso,1962,V12,front,2,,,Road berlinettas,1,,,,275 GTB,1964,direct,Ferrari's historical article explicitly says the 275 GTB replaced the 250 GT Lusso.,Ferrari Sign of its Times,https://www.ferrari.com/en-EN/magazine/articles/sign-of-its-times,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
250 GTO,1962,V12,front,2,250 GT Berlinetta passo corto,1959,250 competition berlinettas,3,250 GT Berlinetta passo corto,1959,derivative,,,,Accepted human decision: road-homologated competition derivative of the SWB; not a Lusso successor.,Ferrari front-engine V12 celebration,https://www.ferrari.com/en-EN/magazine/articles/a-celebration-of-the-front-engine-ferrari-v12,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
275 GTB,1964,V12,front,2,,,Road berlinettas,2,250 GT Berlinetta lusso,1962,direct,275 GTB4,1966,evolution,Ferrari explicitly identifies the Lusso replacement and the later four-cam iteration.,Ferrari Sign of its Times,https://www.ferrari.com/en-EN/magazine/articles/sign-of-its-times,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
275 GTS,1964,V12,front,2,275 GTB,1964,Road berlinettas,,,,,,,,Ferrari calls it the spider version and notes shared chassis systems; its body and tune differ materially.,Ferrari 275 GTS,https://www.ferrari.com/en-EN/auto/275-gts,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
